番号,名言（英語）,名言の日本語訳,発言者,発言者の情報,深い文法解説,写真のURL
1,"Stay hungry, stay foolish.",ハングリーであれ、愚かであれ。,Steve Jobs,Appleの共同創業者。iPhoneなど数々の革新的な製品を世に送り出した。,【命令文と状態維持】 「Stay + 形容詞」は命令文で「〜の状態を保ち続けなさい」という意味。hungry（空腹）とfoolish（愚か）を並べることで、知識への渇望と、常識に縛られない大胆さを対比させています。,-
2,Imagination is more important than knowledge.,想像力は知識よりも重要である。,Albert Einstein,ドイツ生まれの理論物理学者。相対性理論を提唱し、ノーベル物理学賞を受賞。,【比較級】 「A is more [形容詞] than B」の形。importantは長い単語なのでmoreを使います。knowledge（知識）という既存の枠組みよりも、imagination（想像力）という能動的な力を主語にして強調しています。,-
3,The way to get started is to quit talking and begin doing.,始めるための方法は、話すことをやめて行動し始めることだ。,Walt Disney,アメリカのアニメーター、映画監督。ディズニーリゾートの創設者。,【不定詞の役割】 「The way to [動詞]」で「〜するための方法」という長い主語を作っています。「is to [動詞]」は「〜することだ」と結論を述べる名詞的用法。quitとbeginの後ろが共に動名詞(-ing)で、リズムと対比を生んでいます。,-
4,It always seems impossible until it's done.,何事も、達成するまでは不可能に見えるものだ。,Nelson Mandela,南アフリカ共和国の元大統領。反アパルトヘイト運動に尽力し、ノーベル平和賞を受賞。,【第2文型(SVC)と接続詞】 「It seems [形容詞]」で「〜のように見える（思える）」という判断。接続詞 until（〜するまでずっと）が継続を示し、受動態 it's done（なされる）で「完了するまで」というニュアンスを強調。,-
5,Be the change that you wish to see in the world.,あなたが見たいと願う世界の変革に、あなた自身がなりなさい。,Mahatma Gandhi,インドの独立運動指導者。「非暴力・不服従」を提唱した。,【関係代名詞】 命令文「Be the change」に対し、関係代名詞 that が導く節が change を詳しく説明しています。see（見る）の目的語が欠けており、それが先行詞の change であることを掴むのが読解の鍵です。,-
6,I have a dream.,私には夢がある。,Martin Luther King Jr.,アメリカの公民権運動の指導者。人種差別撤廃に尽力した。,【基本の第3文型】 非常にシンプルですが、a dream と単数形にすることで、ぼんやりした夢ではなく「たった一つの明確な決意」であることを示しています。,-
7,"I have not failed. I've just found 10,000 ways that won't work.",私は失敗したことがない。ただ、うまくいかない1万の方法を見つけただけだ。,Thomas Edison,アメリカの発明家。白熱電球や蓄音機など、生涯で数多くの発明を行った。,【現在完了形】 「I have not failed」は現在完了の否定で「一度も失敗したことはないし、今も失敗した状態ではない」という継続・結果を示唆。that以下の関係代名詞節が「機能しない方法」と説明し、失敗をポジティブに言い換えています。,-
8,"Life is like riding a bicycle. To keep your balance, you must keep moving.",人生とは自転車のようなものだ。倒れないようにするには、走り続けなければならない。,Albert Einstein,ドイツ生まれの理論物理学者。相対性理論を提唱し、ノーベル物理学賞を受賞。,【前置詞likeと動名詞】 likeは「〜のような」という前置詞。後半の「keep + -ing」は「〜し続ける」という熟語。To keep...は不定詞の副詞的用法で「目的」を文頭に置いて強調しています。,-
9,The only limit to our realization of tomorrow will be our doubts of today.,私たちの明日への実現を制限する唯一のものは、今日の疑念である。,Franklin D. Roosevelt,第32代アメリカ合衆国大統領。ニューディール政策を推進した。,【助動詞willの予測】 willは強い確信を伴う予測。realization（実現）とdoubts（疑念）を対照的な主語と補語に配置し、未来（tomorrow）を阻むのは現在の自分自身（today）であると論理的に述べています。,-
10,"Whatever you are, be a good one.",あなたが何者であれ、立派な者でありなさい。,Abraham Lincoln,第16代アメリカ合衆国大統領。奴隷解放宣言を行い、「人民の、人民による、人民のための政治」で知られる。,【譲歩の複合関係代名詞】 Whatever you are は「あなたが何者であろうとも」という条件（譲歩）。one は直前の内容を指す代名詞で、どのような職業や立場であっても、という意味を含んでいます。,-
11,"Success is not final, failure is not fatal: it is the courage to continue that counts.",成功は決定的なものではなく、失敗は致命的なものではない。重要なのは続ける勇気だ。,Winston Churchill,イギリスの元首相。第二次世界大戦時にイギリスを指導し、勝利に導いた。,【強調構文】 「It is A that ...」の形。 counts は「重要である」という自動詞。一番大事なのは success や failure ではなく courage（勇気）であると強調しています。,-
12,Peace begins with a smile.,平和は微笑みから始まる。,Mother Teresa,カトリック教会の修道女。貧しい人々のために尽くし、ノーベル平和賞を受賞。,【自動詞の勢い】 begin は自動詞。「平和の方から動き出す」というニュアンスがあり、with a smile（微笑みを伴って）という手段が平和への第一歩であることを示しています。,-
13,The future belongs to those who believe in the beauty of their dreams.,未来は、夢の美しさを信じる人々のものだ。,Eleanor Roosevelt,アメリカのファーストレディ、人権活動家。国連人権委員会の初代委員長。,【関係代名詞 those who】 belong to（〜に属する）の後に、those who（〜な人々）を置いています。believe in は単なる「信じる」より深く「価値を確信する」という強い意味です。,-
14,Don't judge each day by the harvest you reap but by the seeds that you plant.,毎日を収穫の量で判断するのではなく、蒔いた種で判断しなさい。,Robert Louis Stevenson,イギリスの小説家、詩人。『宝島』や『ジキル博士とハイド氏』の作者。,【Not A but B】 「judge A by B」で「AをBで判断する」。収穫（harvest）という「結果」ではなく、種まき（seeds）という「過程」に焦点を当てる構造。目的格の関係代名詞が省略されています。,-
15,"Nothing is impossible, the word itself says ""I'm possible""!",不可能なことなどない。言葉そのものが「私はできる」と言っているのだから！,Audrey Hepburn,イギリスの女優。『ローマの休日』などで知られ、ユニセフ親善大使も務めた。,【代名詞による強調】 itself は word を強める同格の用法。「言葉自身がこう言っている」という擬人化により、不可能（impossible）の中に可能（possible）を見出す言葉遊びが使われています。,-
16,"Whether you think you can or you think you can't, you're right.",できると思っても、できないと思っても、どちらも正しい。,Henry Ford,フォード・モーターの創設者。自動車の大量生産方式を確立した。,【接続詞Whether】 「〜であろうと、なかろうと」という副詞節。主句の you're right（あなたは正しい）が非常に短く、強い断定の響きを持たせています。,-
